0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:02:44 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:05:04 +0900] "GET /Lecture-Web/javascript/array/exam03.html HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:06:18 +0900] "GET /Lecture-Web/javascript/array/exam03.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:17:33 +0900] "GET /Lecture-Web/javascript/array/exam03.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:18:00 +0900] "GET /Lecture-Web/javascript/array/exam03.html HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:19:56 +0900] "GET /Lecture-Web/javascript/array/exam03.html HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:20:23 +0900] "GET /Lecture-Web/javascript/array/exam03.html HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:29:26 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:30:52 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:31:06 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:33:15 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:23 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:32 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:44 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:36:52 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:40:41 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:01:42 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:02:00 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:06:48 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:07:19 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:10:41 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:11:00 +0900] "GET /Lecture-Web/javascript/function/exam01.html HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:21:21 +0900] "GET /Lecture-Web/javascript/function/exam02.html HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:21:45 +0900] "GET /Lecture-Web/javascript/function/exam02.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:26:34 +0900] "GET /Lecture-Web/javascript/function/exam02.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:30:40 +0900] "GET /Lecture-Web/javascript/function/exam02.html HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:32:05 +0900] "GET /Lecture-Web/javascript/function/exam02.html HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:32:23 +0900] "GET /Lecture-Web/javascript/function/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:39:23 +0900] "GET /Lecture-Web/javascript/function/exam03.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:40:08 +0900] "GET /Lecture-Web/javascript/function/exam03.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:41:12 +0900] "GET /Lecture-Web/javascript/function/exam03.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:42:47 +0900] "GET /Lecture-Web/javascript/function/exam03.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:46:50 +0900] "GET /Lecture-Web/javascript/function/exam03.html HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:06:02 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:07:30 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:08:24 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:08:49 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:09:07 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:10:33 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:11:11 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:14:54 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:17:48 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:18:00 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:18:08 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:18:21 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:23:03 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:25:14 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:26:08 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:26:17 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:26:40 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:27:40 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:28:43 +0900] "GET /Lecture-Web/javascript/array/exam04.html HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:35:24 +0900] "GET /Lecture-Web/javascript/function/exam04.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:36:22 +0900] "GET /Lecture-Web/javascript/function/exam04.html HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:46:59 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:49:09 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:51:02 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:51:14 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:52:55 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:53:38 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:53:53 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:53:59 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:55:29 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:57:37 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:20:11 +0900] "GET /Lecture-Web/javascript/BOM/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:27:10 +0900] "GET /Lecture-Web/javascript/BOM/exam02.html HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:30:15 +0900] "GET /Lecture-Web/javascript/BOM/exam02.html HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:30:57 +0900] "GET /Lecture-Web/javascript/BOM/exam02.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:31:01 +0900] "GET /Lecture-Web/javascript/BOM/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:32:45 +0900] "GET /Lecture-Web/javascript/BOM/exam02.html HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:33:09 +0900] "GET /Lecture-Web/javascript/BOM/exam02.html HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:36:54 +0900] "GET /Lecture-Web/javascript/BOM/exam03.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:40:41 +0900] "GET /Lecture-Web/javascript/BOM/exam03.html HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:40:57 +0900] "GET /Lecture-Web/javascript/BOM/exam03.html HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:43:17 +0900] "GET /Lecture-Web/javascript/BOM/exam04.html HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:43:23 +0900] "GET /Lecture-Web/javascript/BOM/exam04.html HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:45:59 +0900] "GET /Lecture-Web/javascript/BOM/exam04.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:48:26 +0900] "GET /Lecture-Web/javascript/BOM/exam04.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:48:26 +0900] "GET /Lecture-Web/html/playlist/Kalimba.mp3 HTTP/1.1" 206 8414449
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:48:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:53:06 +0900] "GET /Lecture-Web/javascript/BOM/exam03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:54:06 +0900] "GET /Lecture-Web/javascript/BOM/exam02.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:59:41 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:02:12 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:03:02 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:03:31 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:05:22 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:06:53 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:07:04 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:07:13 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:09:52 +0900] "GET /Lecture-Web/javascript/DOM/exam01.html HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:26:42 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:33:08 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:33:09 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:33:09 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:35:03 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:36:29 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:37:44 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:38:27 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:40:07 +0900] "GET /Lecture-Web/javascript/DOM/exam02.html HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:45:39 +0900] "GET /Lecture-Web/javascript/DOM/exam03.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:49:32 +0900] "GET /Lecture-Web/javascript/DOM/exam03.html HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:49:47 +0900] "GET /Lecture-Web/javascript/DOM/exam03.html HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [07/Jan/2022:16:50:07 +0900] "GET /Lecture-Web/javascript/DOM/exam03.html HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [07/Jan/2022:17:09:04 +0900] "GET /Lecture-Web/javascript/DOM/exam03.html HTTP/1.1" 200 471
