127.0.0.1 - - [10/Jan/2022:10:04:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:04:17 +0900] "GET /Lecture-Web/javascript/DOM/exam05.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:11:32 +0900] "GET /Lecture-Web/javascript/DOM/exam05.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:11:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:18:39 +0900] "GET /Lecture-Web/javascript/DOM/exam05.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:20:07 +0900] "GET /Lecture-Web/javascript/DOM/exam06.html HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:22:42 +0900] "GET /Lecture-Web/javascript/DOM/exam06.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:23:15 +0900] "GET /Lecture-Web/javascript/DOM/exam06.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:24:22 +0900] "GET /Lecture-Web/javascript/DOM/exam06.html HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:31:22 +0900] "GET /Lecture-Web/javascript/DOM/exam06.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:34:12 +0900] "GET /Lecture-Web/javascript/DOM/exam06.html HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:37:52 +0900] "GET /Lecture-Web/javascript/DOM/exam06.html HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:41:57 +0900] "GET /Lecture-Web/javascript/DOM/exam07.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:45:41 +0900] "GET /Lecture-Web/javascript/DOM/exam07.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:47:24 +0900] "GET /Lecture-Web/javascript/DOM/exam07.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:54:56 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:55:44 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:56:21 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:57:03 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:57:40 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:59:15 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:00:48 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:01:48 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:12:14 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:15:14 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:18:02 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:21:32 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:21:52 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:22:09 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:22:18 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:22:43 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:24:13 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:25:16 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:25:34 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:49:09 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:49:41 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 2136
